date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:09:31	49312/49312	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202024%2010:49:26%20GMT	https://bracketweb.com/ienet-html-main/login.html	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/login.html	(from https://bracketweb.com/ienet-html-main/about.html)
14:09:31	47091/47091	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202024%2010:49:26%20GMT	https://bracketweb.com/ienet-html-main/404.html	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/404.html	(from https://bracketweb.com/ienet-html-main/about.html)
14:09:31	57831/57831	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202024%2010:49:26%20GMT	https://bracketweb.com/ienet-html-main/services.html	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/services.html	(from https://bracketweb.com/ienet-html-main/about.html)
14:09:32	58082/58082	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202024%2010:49:26%20GMT	https://bracketweb.com/ienet-html-main/services-carousel.html	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/services-carousel.html	(from https://bracketweb.com/ienet-html-main/about.html)
14:09:32	58707/58707	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202024%2010:49:26%20GMT	https://bracketweb.com/ienet-html-main/service-d-broadband.html	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/service-d-broadband.html	(from https://bracketweb.com/ienet-html-main/about.html)
14:09:33	58702/58702	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202024%2010:49:26%20GMT	https://bracketweb.com/ienet-html-main/service-d-iptv.html	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/service-d-iptv.html	(from https://bracketweb.com/ienet-html-main/about.html)
14:09:33	58722/58722	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202024%2010:49:26%20GMT	https://bracketweb.com/ienet-html-main/service-d-cyber-security.html	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/service-d-cyber-security.html	(from https://bracketweb.com/ienet-html-main/about.html)
14:09:33	58692/58692	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202024%2010:49:26%20GMT	https://bracketweb.com/ienet-html-main/service-d-landline.html	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/service-d-landline.html	(from https://bracketweb.com/ienet-html-main/about.html)
14:09:34	58692/58692	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202024%2010:49:26%20GMT	https://bracketweb.com/ienet-html-main/service-d-tv.html	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/service-d-tv.html	(from https://bracketweb.com/ienet-html-main/about.html)
14:09:34	58712/58712	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202024%2010:49:26%20GMT	https://bracketweb.com/ienet-html-main/service-d-connectivity.html	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/service-d-connectivity.html	(from https://bracketweb.com/ienet-html-main/about.html)
14:09:34	62722/62722	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202024%2010:49:26%20GMT	https://bracketweb.com/ienet-html-main/products.html	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/products.html	(from https://bracketweb.com/ienet-html-main/about.html)
14:09:35	61361/61361	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202024%2010:49:26%20GMT	https://bracketweb.com/ienet-html-main/products-left.html	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/products-left.html	(from https://bracketweb.com/ienet-html-main/about.html)
14:09:35	61345/61345	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202024%2010:49:26%20GMT	https://bracketweb.com/ienet-html-main/products-right.html	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/products-right.html	(from https://bracketweb.com/ienet-html-main/about.html)
14:09:36	57324/57324	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202024%2010:49:26%20GMT	https://bracketweb.com/ienet-html-main/product-details.html	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/product-details.html	(from https://bracketweb.com/ienet-html-main/about.html)
14:09:36	57669/57669	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202024%2010:49:26%20GMT	https://bracketweb.com/ienet-html-main/products-carousel.html	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/products-carousel.html	(from https://bracketweb.com/ienet-html-main/about.html)
14:09:37	54420/54420	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202024%2010:49:26%20GMT	https://bracketweb.com/ienet-html-main/cart.html	C:/My%20Web%20Sites/infranet/bracketweb.com/ienet-html-main/cart.html	(from https://bracketweb.com/ienet-html-main/about.html)
